uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
01P06AL034,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A3,Type 3 (reduced emissions),MTF,9.9,6.93,7.65,0.03,0.01,0.1076
01P06AL034,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A3,Type 3 (reduced emissions),MTF,2.31,4.12,41.29,4.1,0.01,0.0448
1AA001,1,Aviadvigatel,D-30,D-30 (II series),,MTF,66.64,19.1,2.7,0.12,33.0,1.15
1AA001,1,Aviadvigatel,D-30,D-30 (II series),,MTF,56.644,16.3,3.2,0.14,35.0,0.975
1AA001,1,Aviadvigatel,D-30,D-30 (II series),,MTF,19.992,7.0,14.5,1.5,27.0,0.35
1AA001,1,Aviadvigatel,D-30,D-30 (II series),,MTF,4.6648000000000005,3.6,60.3,43.6,8.0,0.13
1AA002,1,Aviadvigatel,D-30KP,D-30KP-2,,MTF,117.6,16.5,2.2,0.7,17.5,1.67
1AA002,1,Aviadvigatel,D-30KP,D-30KP-2,,MTF,99.96,13.5,2.8,0.8,19.5,1.42
1AA002,1,Aviadvigatel,D-30KP,D-30KP-2,,MTF,35.279999999999994,6.3,15.4,2.7,16.0,0.49
1AA002,1,Aviadvigatel,D-30KP,D-30KP-2,,MTF,8.232000000000001,3.3,62.4,13.3,6.5,0.21
1AA003,1,Aviadvigatel,D-30KU,D-30KU,,MTF,112.7,16.3,2.8,0.3,,1.52
1AA003,1,Aviadvigatel,D-30KU,D-30KU,,MTF,95.795,12.6,3.7,0.4,,1.3
1AA003,1,Aviadvigatel,D-30KU,D-30KU,,MTF,33.81,5.1,11.8,1.2,,0.5
1AA003,1,Aviadvigatel,D-30KU,D-30KU,,MTF,7.889000000000001,2.7,54.0,10.5,,0.215
1AA004,1,Aviadvigatel,D-30KU,D-30KU-154,,MTF,107.5,14.5,3.0,0.4,,1.42
1AA004,1,Aviadvigatel,D-30KU,D-30KU-154,,MTF,91.375,11.6,3.6,0.5,,1.1
1AA004,1,Aviadvigatel,D-30KU,D-30KU-154,,MTF,32.25,5.1,18.2,1.9,,0.42
1AA004,1,Aviadvigatel,D-30KU,D-30KU-154,,MTF,7.525,2.9,77.7,12.7,,0.207
1AA005,1,Aviadvigatel,PS-90,PS-90A,,MTF,156.9,37.0,0.35,0.12,,1.739
1AA005,1,Aviadvigatel,PS-90,PS-90A,,MTF,133.365,31.5,0.4,0.12,,1.431
1AA005,1,Aviadvigatel,PS-90,PS-90A,,MTF,47.07,11.8,0.9,0.2,,0.489
1AA005,1,Aviadvigatel,PS-90,PS-90A,,MTF,10.983000000000002,5.8,6.9,0.3,,0.178
13AA006,13,Aviadvigatel,PS-90,PS-90A,94-03-809,MTF,154.6,30.52,0.41,0.1,6.75,1.532
13AA006,13,Aviadvigatel,PS-90,PS-90A,94-03-809,MTF,131.41,23.33,0.45,0.13,7.82,1.279
13AA006,13,Aviadvigatel,PS-90,PS-90A,94-03-809,MTF,46.379999999999995,8.96,1.2,0.79,5.06,0.511
13AA006,13,Aviadvigatel,PS-90,PS-90A,94-03-809,MTF,10.822000000000001,4.92,15.18,1.32,0.23,0.1675
13AA007,13,Aviadvigatel,PS-90,PS-90A1,194-03-800,MTF,169.7,35.69,0.38,0.1,14.1,1.654
13AA007,13,Aviadvigatel,PS-90,PS-90A1,194-03-800,MTF,144.24499999999998,26.68,0.4,0.1,16.005,1.354
13AA007,13,Aviadvigatel,PS-90,PS-90A1,194-03-800,MTF,50.91,9.88,1.07,0.16,13.17,0.533
13AA007,13,Aviadvigatel,PS-90,PS-90A1,194-03-800,MTF,11.879,4.92,12.91,0.72,0.56,0.174
13AA008,13,Aviadvigatel,PS-90,PS-90A2,93-03-800,MTF,156.95,32.7,0.44,0.11,15.45,1.38
13AA008,13,Aviadvigatel,PS-90,PS-90A2,93-03-800,MTF,133.4075,25.52,0.65,0.14,16.24,1.117
13AA008,13,Aviadvigatel,PS-90,PS-90A2,93-03-800,MTF,47.084999999999994,9.31,1.91,0.21,12.12,0.491
13AA008,13,Aviadvigatel,PS-90,PS-90A2,93-03-800,MTF,10.9865,4.3,16.79,2.88,1.17,0.171
3BR001,3,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,65.61,17.07,0.52,0.0,11.03,0.707
3BR001,3,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,55.768499999999996,13.93,0.66,0.03,8.69,0.588
3BR001,3,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,19.683,8.2,4.24,0.04,0.0,0.22
3BR001,3,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,4.592700000000001,4.0,26.09,1.98,0.17,0.089
4BR008,4,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,65.61,18.79,1.04,0.02,13.99,0.713
4BR008,4,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,55.768499999999996,15.07,0.93,0.02,11.92,0.594
4BR008,4,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,19.683,7.68,4.78,0.05,0.29,0.214
4BR008,4,Rolls-Royce Deutschland,BR710,BR710A1-10,,MTF,4.592700000000001,4.69,27.82,1.09,0.56,0.089
4BR002,4,Rolls-Royce Deutschland,BR715,BR715A1-30,,MTF,84.16,23.97,0.78,0.0,3.24,0.836
4BR002,4,Rolls-Royce Deutschland,BR715,BR715A1-30,,MTF,71.536,18.65,0.75,0.02,2.73,0.69
4BR002,4,Rolls-Royce Deutschland,BR715,BR715A1-30,,MTF,25.247999999999998,11.19,3.76,0.01,0.97,0.245
4BR002,4,Rolls-Royce Deutschland,BR715,BR715A1-30,,MTF,5.8912,5.37,16.27,0.21,0.91,0.096
4BR005,4,Rolls-Royce Deutschland,BR715 improved injector,BR715A1-30,Improved fuel injector,MTF,83.23,20.97,0.66,0.05,4.33,0.831
4BR005,4,Rolls-Royce Deutschland,BR715 improved injector,BR715A1-30,Improved fuel injector,MTF,70.7455,16.43,0.63,0.06,3.96,0.686
4BR005,4,Rolls-Royce Deutschland,BR715 improved injector,BR715A1-30,Improved fuel injector,MTF,24.969,8.75,4.05,0.02,0.77,0.24
4BR005,4,Rolls-Royce Deutschland,BR715 improved injector,BR715A1-30,Improved fuel injector,MTF,5.826100000000001,3.95,19.72,0.11,0.11,0.1
4BR003,4,Rolls-Royce Deutschland,BR715,BR715B1-30,,MTF,89.68,27.21,0.78,0.0,3.55,0.905
4BR003,4,Rolls-Royce Deutschland,BR715,BR715B1-30,,MTF,76.22800000000001,20.34,0.76,0.01,2.9,0.743
4BR003,4,Rolls-Royce Deutschland,BR715,BR715B1-30,,MTF,26.904,11.38,3.38,0.0,1.03,0.259
4BR003,4,Rolls-Royce Deutschland,BR715,BR715B1-30,,MTF,6.277600000000001,5.54,15.56,0.17,0.89,0.098
4BR006,4,Rolls-Royce Deutschland,BR715 improved injector,BR715B1-30,Improved fuel injector,MTF,89.68,24.28,0.72,0.03,4.56,0.91
4BR006,4,Rolls-Royce Deutschland,BR715 improved injector,BR715B1-30,Improved fuel injector,MTF,76.22800000000001,18.27,0.63,0.06,4.13,0.75
4BR006,4,Rolls-Royce Deutschland,BR715 improved injector,BR715B1-30,Improved fuel injector,MTF,26.904,9.01,3.59,0.02,0.96,0.257
4BR006,4,Rolls-Royce Deutschland,BR715 improved injector,BR715B1-30,Improved fuel injector,MTF,6.277600000000001,4.14,18.6,0.07,0.07,0.103
4BR004,4,Rolls-Royce Deutschland,BR715,BR715C1-30,,MTF,95.33,31.39,0.75,0.0,3.98,0.98
4BR004,4,Rolls-Royce Deutschland,BR715,BR715C1-30,,MTF,81.0305,22.41,0.78,0.0,3.09,0.799
4BR004,4,Rolls-Royce Deutschland,BR715,BR715C1-30,,MTF,28.599,11.55,3.06,0.0,1.09,0.273
4BR004,4,Rolls-Royce Deutschland,BR715,BR715C1-30,,MTF,6.673100000000001,5.72,14.86,0.14,0.87,0.101
4BR007,4,Rolls-Royce Deutschland,BR715 improved injector,BR715C1-30,Improved fuel injector,MTF,95.33,27.92,0.8,0.01,4.86,0.984
4BR007,4,Rolls-Royce Deutschland,BR715 improved injector,BR715C1-30,Improved fuel injector,MTF,81.0305,20.05,0.64,0.06,4.26,0.805
4BR007,4,Rolls-Royce Deutschland,BR715 improved injector,BR715C1-30,Improved fuel injector,MTF,28.599,9.23,3.23,0.02,1.12,0.272
4BR007,4,Rolls-Royce Deutschland,BR715 improved injector,BR715C1-30,Improved fuel injector,MTF,6.673100000000001,4.28,17.85,0.06,0.04,0.105
01P04BR013,4,Rolls-Royce Deutschland,BR710,BR710A2-20,,MTF,65.61,18.73,1.04,0.02,13.96,0.714
01P04BR013,4,Rolls-Royce Deutschland,BR710,BR710A2-20,,MTF,55.768499999999996,15.03,0.93,0.02,11.87,0.595
01P04BR013,4,Rolls-Royce Deutschland,BR710,BR710A2-20,,MTF,19.683,7.67,4.81,0.05,0.27,0.214
01P04BR013,4,Rolls-Royce Deutschland,BR710,BR710A2-20,,MTF,4.592700000000001,4.67,28.0,1.12,0.57,0.089
01P06BR014,6,Rolls-Royce Deutschland,BR710,BR710C4-11,Annular,MTF,68.77,19.52,1.04,0.02,14.34,0.747
01P06BR014,6,Rolls-Royce Deutschland,BR710,BR710C4-11,Annular,MTF,58.454499999999996,15.43,0.92,0.02,12.36,0.617
01P06BR014,6,Rolls-Royce Deutschland,BR710,BR710C4-11,Annular,MTF,20.630999999999997,7.71,4.92,0.05,0.35,0.215
01P06BR014,6,Rolls-Royce Deutschland,BR710,BR710C4-11,Annular,MTF,4.8139,4.5,31.57,2.29,0.45,0.083
01P20BR015,20,Rolls-Royce Deutschland,PEARL 15,BR710D5-21,Phase5 Tiled,MTF,68.43,26.63,0.32,0.02,2.85,0.682
01P20BR015,20,Rolls-Royce Deutschland,PEARL 15,BR710D5-21,Phase5 Tiled,MTF,58.1655,20.2,0.63,0.0,3.54,0.564
01P20BR015,20,Rolls-Royce Deutschland,PEARL 15,BR710D5-21,Phase5 Tiled,MTF,20.529,9.11,2.84,0.01,1.92,0.197
01P20BR015,20,Rolls-Royce Deutschland,PEARL 15,BR710D5-21,Phase5 Tiled,MTF,4.790100000000001,3.07,34.97,2.13,1.7,0.08
01P11BR016,11,Rolls-Royce Deutschland,BR725,BR725A1-12,Z-ring,MTF,75.7,16.92,0.4,0.0,4.15,0.789
01P11BR016,11,Rolls-Royce Deutschland,BR725,BR725A1-12,Z-ring,MTF,64.345,13.32,0.32,0.0,4.46,0.65
01P11BR016,11,Rolls-Royce Deutschland,BR725,BR725A1-12,Z-ring,MTF,22.71,7.81,5.93,0.0,0.0,0.221
